24-06-2026 18:54:11 [background-preinit] INFO   org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
24-06-2026 18:54:11 [main] INFO   com.cat.inv.CatalogosInventariosApplication - Starting CatalogosInventariosApplication using Java 26.0.1 with PID 13328 (C:\Users\chief\OneDrive\Documentos\ProyectosEclipse\CatalogosInventarios\target\classes started by chief in C:\Users\chief\OneDrive\Documentos\ProyectosEclipse\CatalogosInventarios)
24-06-2026 18:54:11 [main] INFO   com.cat.inv.CatalogosInventariosApplication - No active profile set, falling back to 1 default profile: "default"
24-06-2026 18:54:12 [main] INFO   org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
24-06-2026 18:54:12 [main] INFO   org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 JDBC repository interfaces.
24-06-2026 18:54:12 [main] INFO   org.springframework.ws.soap.addressing.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
24-06-2026 18:54:12 [main] INFO   org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8530 (http)
24-06-2026 18:54:12 [main] INFO   org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8530"]
24-06-2026 18:54:12 [main] INFO   org.apache.catalina.core.StandardService - Starting service [Tomcat]
24-06-2026 18:54:12 [main] INFO   org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.30]
24-06-2026 18:54:12 [main] INFO   org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
24-06-2026 18:54:12 [main] INFO   org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1101 ms
24-06-2026 18:54:13 [main] INFO   com.zaxxer.hikari.HikariDataSource - HikariPool-Catalogos - Starting...
24-06-2026 18:54:15 [main] INFO   com.zaxxer.hikari.pool.HikariPool - HikariPool-Catalogos - Added connection oracle.jdbc.driver.T4CConnection@510da778
24-06-2026 18:54:15 [main] INFO   com.zaxxer.hikari.HikariDataSource - HikariPool-Catalogos - Start completed.
24-06-2026 18:54:15 [main] INFO   org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8530"]
24-06-2026 18:54:15 [main] INFO   org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8530 (http) with context path '/'
24-06-2026 18:54:15 [main] INFO   com.cat.inv.CatalogosInventariosApplication - Started CatalogosInventariosApplication in 4.244 seconds (process running for 4.756)
24-06-2026 18:54:31 [RMI TCP Connection(2)-127.0.0.1] INFO   org.springframework.boot.admin.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
24-06-2026 18:54:31 [RMI TCP Connection(2)-127.0.0.1] INFO   org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8530"]
24-06-2026 18:54:31 [RMI TCP Connection(2)-127.0.0.1] INFO   com.zaxxer.hikari.HikariDataSource - HikariPool-Catalogos - Shutdown initiated...
24-06-2026 18:54:32 [RMI TCP Connection(2)-127.0.0.1] INFO   com.zaxxer.hikari.HikariDataSource - HikariPool-Catalogos - Shutdown completed.
